район,население,индекс счастья,площадь
муниципальный округ Адмиралтейский округ,24189,15,209.44203265722615
муниципальный округ Екатерингофский,21890,15,327.10005542370646
муниципальный округ Измайловское,32807,13,316.7757422965098
муниципальный округ Коломна,34026,17,247.91205148334018
муниципальный округ Семеновский,22414,19,164.4872667770217
муниципальный округ Сенной округ,20655,2,109.75009631063718
муниципальный округ N 7,36280,12,440.27659045780655
муниципальный округ Васильевский,31585,6,243.2125696662169
муниципальный округ Гавань,41303,16,460.45073558912975
муниципальный округ Морской,36263,4,387.2539649485074
муниципальный округ Остров Декабристов,61249,13,624.9803337562724
муниципальный округ N 15,61391,5,435.3849075708056
муниципальный округ Сампсониевское,39131,17,504.0634863869746
муниципальный округ Светлановское,90520,15,845.9457555039586
муниципальный округ Сергиевское,60618,8,610.3593021717506
муниципальный округ Сосновское,60911,3,575.2607935223609
муниципальный округ Шувалово-Озерки,116843,13,794.0257324497076
поселок Левашово,6021,16,3408.3195353229494
поселок Парголово,106155,11,4254.042388906106
муниципальный округ N 21,77593,4,397.98201084957805
муниципальный округ Академическое,109911,17,654.3490980180444
муниципальный округ Гражданка,68562,19,414.2092703253401
муниципальный округ Пискаревка,81911,11,903.4602791645035
муниципальный округ Прометей,77426,7,404.1118797657096
муниципальный округ Северный,48582,10,214.6092361506514
муниципальный округ Финляндский округ,72809,14,1019.4925934976129
муниципальный округ Автово,43206,8,1464.814364197179
муниципальный округ Дачное,71589,14,427.90390828631473
муниципальный округ Княжево,60608,5,449.5493624099852
муниципальный округ Красненькая речка,38921,11,203.366036645419
муниципальный округ Морские ворота,10582,12,807.9639859989845
муниципальный округ Нарвский округ,33630,2,755.2269779358226
муниципальный округ Ульянка,77238,2,478.4202534883376
город Колпино,143914,9,5787.620602487803
поселок Металлострой,27313,12,1064.2512611317422
поселок Петро-Славянка,2090,11,1593.1489436318827
поселок Понтонный,8588,5,832.0587251698471
поселок Саперный,1638,14,566.5204452324668
поселок Усть-Ижора,2626,15,420.7032274823602
муниципальный округ Большая Охта,58140,4,577.5989338579282
муниципальный округ Малая Охта,43414,9,523.3691958473474
муниципальный округ Полюстрово,75180,17,2079.0435478904988
муниципальный округ Пороховые,128949,18,727.3855081769234
муниципальный округ Ржевка,61288,12,1709.5039663608768
город Красное Село,58652,16,1931.6710428940466
муниципальный округ Горелово,27781,6,3143.2429081245937
муниципальный округ Константиновское,36169,19,1302.4316703433121
муниципальный округ Сосновая Поляна,70165,10,893.3813375467805
муниципальный округ Урицк,51054,12,479.29144990097285
муниципальный округ Юго-Запад,59379,16,277.39435084444335
муниципальный округ Южно-Приморский,128346,14,1016.2542263683274
город Кронштадт,44414,6,2001.492645481516
город Зеленогорск,15492,6,3926.7108014553496
город Сестрорецк,45697,7,9323.72645350082
поселок Белоостров,2460,19,2527.4335076507527
поселок Комарово,1487,14,1899.956340311691
поселок Молодежное,1668,17,1235.1431540757944
поселок Песочный,9860,19,1804.259145019345
поселок Репино,2917,14,1583.3833915073997
поселок Серово,314,8,971.4687754139616
поселок Смолячково,827,15,823.8886783300763
поселок Солнечное,1955,5,1545.6563317193786
поселок Ушково,814,4,1700.735413756961
муниципальный округ Гагаринское,66266,5,799.436032619301
муниципальный округ Звездное,93945,1,890.3865202995472
муниципальный округ Московская застава,45138,10,1002.5613634451903
муниципальный округ Новоизмайловское,84009,8,683.767503573578
муниципальный округ Пулковский меридиан,45863,18,3914.523432907186
муниципальный округ N 54,67521,11,390.73702920516877
муниципальный округ Ивановский,27186,15,548.930814127208
муниципальный округ Народный,79305,12,958.2844282708077
муниципальный округ Невская застава,27970,12,910.9825033062186
муниципальный округ Невский округ,69327,9,535.096258607324
муниципальный округ Обуховский,56592,6,476.38123939337675
муниципальный округ Оккервиль,62118,5,249.0060775605729
муниципальный округ Правобережный,87918,8,645.362641968059
муниципальный округ Рыбацкое,69959,10,1434.445341820176
муниципальный округ Аптекарский остров,20667,9,254.5645578481175
муниципальный округ Введенский,15514,6,106.3979022496136
муниципальный округ Кронверкское,16600,6,172.10204762420872
муниципальный округ Петровский,17467,7,281.0013031440216
муниципальный округ Посадский,15861,11,177.38964462312308
муниципальный округ Чкаловское,29648,2,967.0824896398161
город Ломоносов,39088,13,4233.588879394252
город Петергоф,80701,13,4867.119238453174
поселок Стрельна,14359,18,1945.5158716092742
муниципальный округ N 65,190318,9,1158.890111851283
муниципальный округ Коломяги,117578,13,2652.3125013507197
муниципальный округ Комендантский аэродром,94158,3,546.6043395970714
муниципальный округ Лахта-Ольгино,15347,4,3079.8580125534863
муниципальный округ Озеро Долгое,91272,6,548.7218394155643
муниципальный округ Черная речка,69822,4,496.07013789899685
муниципальный округ Юнтолово,114257,5,1195.534041645712
поселок Лисий Нос,6491,19,1332.4256724575994
город Павловск,17775,2,3676.4849971446447
город Пушкин,108187,18,8888.733780947117
поселок Александровская,3089,13,474.8068787520795
поселок Тярлево,1703,18,259.75845743765353
поселок Шушары,132978,16,10587.256400962759
муниципальный округ N 75,62309,18,985.1717988836102
муниципальный округ Балканский,74005,8,541.230032845204
муниципальный округ Волковское,61246,5,1140.2055219726612
муниципальный округ Георгиевский,92460,9,422.68507249815065
муниципальный округ Купчино,56117,6,275.0017106647535
муниципальный округ N 78,9085,18,116.43199845114299
муниципальный округ Владимирский,50302,16,192.16931811486515
муниципальный округ Дворцовый округ,7348,16,218.0346618420592
муниципальный округ Лиговка-Ямская,19563,1,308.4484923643739
муниципальный округ Литейный округ,40151,4,243.7814817833246
муниципальный округ Смольнинское,74205,10,684.1504823420546
муниципальный округ N 72,67846,7,370.31694866653464
